"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"European Union","EUU","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","73.33827","74.1267","75.07829","75.48161","75.83024","76.36022","76.65083","77.04642","77.4323","77.6515","78.23066","79.32755","79.92364","80.0994","80.41242","80.66255","80.96991","81.73145","84.69666","86.63972","86.70356","86.96471","86.72672","85.52653","86.00713","86.59332","87.19414","88.16424","88.63422","88.93423","90.10741","90.04321","89.73981","90.53647","90.87419","91.45633","90.92332","90.72637","91.71964","","",
"Fragile and conflict affected situations","FCS","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.45039","23.46343","23.99028","24.72578","24.96949","25.24492","25.48641","25.71844","26.69756","27.47084","27.86154","29.60075","31.44315","32.00207","33.17359","33.66857","35.21507","36.30663","37.13564","37.58591","38.18293","36.62973","","",
"Finland","FIN","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","70.56466","","","","","","","","84.92075","","","","","","","","","","","","93.04039","","94.86484","94.78169","92.34145","92.59221","93.2961","97.31751","94.62612","94.61442","94.32296","94.53743","95.10145","95.2559","95.94758","96.35846","95.99802","95.09327","94.20035","93.6362","92.96122","92.21532","93.77698","","",
"Fiji","FJI","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.57768","72.2587","74.78046","75.83129","76.47263","83.26254","","85.49484","81.39311","","80.64407","","84.72191","83.38211","","","",
"France","FRA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","76.17676","77.16374","","77.52369","78.05954","78.5506","78.79066","79.68612","","81.9915","82.28313","82.37912","82.36393","82.67822","83.35989","","89.08393","90.08856","95.86596","96.43602","95.6086","94.92232","","93.33842","92.62921","92.46846","93.1982","93.71607","93.85037","97.39712","97.12352","97.0726","97.11542","96.99224","96.82211","96.88328","98.38231","99.26681","","",
"Faroe Islands","FRO","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","70.25886","70.61095","71.19209","76.5044","76.44305","77.36738","76.89906","76.1235","75.52485","","76.79436","77.57354","78.81555","78.88283","","80.2481","80.08608","","","78.43628","81.00256","83.64227","92.07165","93.9148","94.83629","93.95343","92.78243","93.52743","94.68907","94.72008","94.97759","95.6494","95.4451","94.9789","95.52546","92.39346","90.92987","92.09576","93.70083","95.23755","92.0484","90.64219","94.33573","","",
"Georgia","GEO","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.42621","76.86595","","76.34122","77.14766","","","","","76.16447","77.35127","81.61676","83.37286","81.19886","","","","88.98943","92.05199","",
"Ghana","GHA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.47047","34.67933","33.01173","34.7096","35.73545","38.63892","39.95999","41.14919","47.1436","47.04298","45.69081","","","","51.42917","54.60724","",
"Gibraltar","GIB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","9.01633","","","7.35984","6.93324","","","","","","","","","11.43437","","15.65596","17.68939","18.97091","20.28902","23.33568","25.86953","","","","","30.05907","","","31.78818","",
"Gambia, The","GMB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","8.15178","8.2486","","","","13.11751","14.38173","14.61557","14.1644","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
